StartFrame,EndFrame,Verb,Verb_class,Noun,Noun_class,ActionLabel,ActionName
1597,1639,,73,eating_utensil,3,42,Take Cup
1597,1639,,73,eating_utensil,3,42,Take Cup
1597,1639,,73,eating_utensil,3,42,Take Cup
1749,1826,,49,faucet,5,26,Wash Eating Utensil
1749,1826,,49,faucet,5,26,Wash Eating Utensil
1749,1826,,49,faucet,5,26,Wash Eating Utensil
1776,1952,,49,faucet,5,26,Wash Eating Utensil
1776,1952,,49,faucet,5,26,Wash Eating Utensil
1776,1952,,49,faucet,5,26,Wash Eating Utensil
1938,2003,,101,stove,9,26,Wash Eating Utensil
1938,2003,,101,stove,9,26,Wash Eating Utensil
1938,2003,,101,stove,9,26,Wash Eating Utensil
1994,2050,,33,cabinet,6,26,Wash Eating Utensil
1994,2050,,33,cabinet,6,26,Wash Eating Utensil
1994,2050,,33,cabinet,6,26,Wash Eating Utensil
2046,2076,,73,eating_utensil,3,42,Take Cup
2046,2076,,73,eating_utensil,3,42,Take Cup
2046,2076,,73,eating_utensil,3,42,Take Cup
2073,2101,,73,eating_utensil,3,42,Take Cup
2073,2101,,73,eating_utensil,3,42,Take Cup
2073,2101,,73,eating_utensil,3,42,Take Cup
2235,2275,Put,6,trash,15,16,Take Plate
2235,2275,Put,6,trash,15,16,Take Plate
2235,2275,Put,6,trash,15,16,Take Plate
2553,2703,Inspect/Read,1,recipe,1,1,Inspect/Read Recipe
2553,2703,Inspect/Read,1,recipe,1,1,Inspect/Read Recipe
2553,2703,Inspect/Read,1,recipe,1,1,Inspect/Read Recipe
2697,2746,Take,3,eating_utensil,3,3,Take Eating Utensil
2697,2746,Take,3,eating_utensil,3,3,Take Eating Utensil
2697,2746,Take,3,eating_utensil,3,3,Take Eating Utensil
2751,2835,Inspect/Read,1,recipe,1,1,Inspect/Read Recipe
2751,2835,Inspect/Read,1,recipe,1,1,Inspect/Read Recipe
2751,2835,Inspect/Read,1,recipe,1,1,Inspect/Read Recipe
2766,2826,Inspect/Read,1,recipe,1,1,Inspect/Read Recipe
2766,2826,Inspect/Read,1,recipe,1,1,Inspect/Read Recipe
2766,2826,Inspect/Read,1,recipe,1,1,Inspect/Read Recipe
2846,2895,Put,6,cabinet,6,3,Take Eating Utensil
2846,2895,Put,6,cabinet,6,3,Take Eating Utensil
2846,2895,Put,6,cabinet,6,3,Take Eating Utensil
2919,2961,Open,2,fridge,2,2,Open Fridge
2919,2961,Open,2,fridge,2,2,Open Fridge
2919,2961,Open,2,fridge,2,2,Open Fridge
2948,3091,,48,eating_utensil,3,4,Cut Tomato
2948,3091,,48,eating_utensil,3,4,Cut Tomato
2948,3091,,48,eating_utensil,3,4,Cut Tomato
3092,3175,Spread,11,cucumber,8,2,Open Fridge
3092,3175,Spread,11,cucumber,8,2,Open Fridge
3092,3175,Spread,11,cucumber,8,2,Open Fridge
3204,3252,Take,3,eating_utensil,3,3,Take Eating Utensil
3204,3252,Take,3,eating_utensil,3,3,Take Eating Utensil
3204,3252,Take,3,eating_utensil,3,3,Take Eating Utensil
3210,3743,Cut,4,tomato,4,4,Cut Tomato
3210,3743,Cut,4,tomato,4,4,Cut Tomato
3210,3743,Cut,4,tomato,4,4,Cut Tomato
3731,4045,Cut,4,tomato,4,4,Cut Tomato
3731,4045,Cut,4,tomato,4,4,Cut Tomato
3731,4045,Cut,4,tomato,4,4,Cut Tomato
3733,3762,,48,eating_utensil,3,4,Cut Tomato
3733,3762,,48,eating_utensil,3,4,Cut Tomato
3733,3762,,48,eating_utensil,3,4,Cut Tomato
4063,4256,Cut,4,tomato,4,4,Cut Tomato
4063,4256,Cut,4,tomato,4,4,Cut Tomato
4063,4256,Cut,4,tomato,4,4,Cut Tomato
4265,4741,Cut,4,tomato,4,4,Cut Tomato
4265,4741,Cut,4,tomato,4,4,Cut Tomato
4265,4741,Cut,4,tomato,4,4,Cut Tomato
4775,5182,Cut,4,tomato,4,4,Cut Tomato
4775,5182,Cut,4,tomato,4,4,Cut Tomato
4775,5182,Cut,4,tomato,4,4,Cut Tomato
5257,5309,Cut,4,tomato,4,4,Cut Tomato
5257,5309,Cut,4,tomato,4,4,Cut Tomato
5257,5309,Cut,4,tomato,4,4,Cut Tomato
5312,5341,Cut,4,tomato,4,4,Cut Tomato
5312,5341,Cut,4,tomato,4,4,Cut Tomato
5312,5341,Cut,4,tomato,4,4,Cut Tomato
5370,5436,Open,2,fridge,2,2,Open Fridge
5370,5436,Open,2,fridge,2,2,Open Fridge
5370,5436,Open,2,fridge,2,2,Open Fridge
5428,5472,,40,cabinet,6,4,Cut Tomato
5428,5472,,40,cabinet,6,4,Cut Tomato
5428,5472,,40,cabinet,6,4,Cut Tomato
5467,5510,,55,eating_utensil,3,11,Close Fridge
5467,5510,,55,eating_utensil,3,11,Close Fridge
5467,5510,,55,eating_utensil,3,11,Close Fridge
5587,5770,Inspect/Read,1,recipe,1,1,Inspect/Read Recipe
5587,5770,Inspect/Read,1,recipe,1,1,Inspect/Read Recipe
5587,5770,Inspect/Read,1,recipe,1,1,Inspect/Read Recipe
5801,5872,Open,2,fridge,2,2,Open Fridge
5801,5872,Open,2,fridge,2,2,Open Fridge
5801,5872,Open,2,fridge,2,2,Open Fridge
5863,5906,,64,eating_utensil,3,17,Take Bowl
5863,5906,,64,eating_utensil,3,17,Take Bowl
5863,5906,,64,eating_utensil,3,17,Take Bowl
5910,6007,Spread,11,cucumber,8,2,Open Fridge
5910,6007,Spread,11,cucumber,8,2,Open Fridge
5910,6007,Spread,11,cucumber,8,2,Open Fridge
6013,6062,,71,cabinet,6,17,Take Bowl
6013,6062,,71,cabinet,6,17,Take Bowl
6013,6062,,71,cabinet,6,17,Take Bowl
6032,6075,Take,3,eating_utensil,3,3,Take Eating Utensil
6032,6075,Take,3,eating_utensil,3,3,Take Eating Utensil
6032,6075,Take,3,eating_utensil,3,3,Take Eating Utensil
6076,6307,,21,tomato,4,17,Take Bowl
6076,6307,,21,tomato,4,17,Take Bowl
6076,6307,,21,tomato,4,17,Take Bowl
6335,6373,,71,cabinet,6,17,Take Bowl
6335,6373,,71,cabinet,6,17,Take Bowl
6335,6373,,71,cabinet,6,17,Take Bowl
6336,6768,,21,tomato,4,17,Take Bowl
6336,6768,,21,tomato,4,17,Take Bowl
6336,6768,,21,tomato,4,17,Take Bowl
6787,7005,,21,tomato,4,17,Take Bowl
6787,7005,,21,tomato,4,17,Take Bowl
6787,7005,,21,tomato,4,17,Take Bowl
6979,7065,,21,tomato,4,17,Take Bowl
6979,7065,,21,tomato,4,17,Take Bowl
6979,7065,,21,tomato,4,17,Take Bowl
7039,7255,,21,tomato,4,17,Take Bowl
7039,7255,,21,tomato,4,17,Take Bowl
7039,7255,,21,tomato,4,17,Take Bowl
7264,7296,,64,eating_utensil,3,17,Take Bowl
7264,7296,,64,eating_utensil,3,17,Take Bowl
7264,7296,,64,eating_utensil,3,17,Take Bowl
7285,7393,,21,tomato,4,17,Take Bowl
7285,7393,,21,tomato,4,17,Take Bowl
7285,7393,,21,tomato,4,17,Take Bowl
7412,7440,,71,cabinet,6,17,Take Bowl
7412,7440,,71,cabinet,6,17,Take Bowl
7412,7440,,71,cabinet,6,17,Take Bowl
7427,7682,,21,tomato,4,17,Take Bowl
7427,7682,,21,tomato,4,17,Take Bowl
7427,7682,,21,tomato,4,17,Take Bowl
7823,7864,Pour,16,eating_utensil,3,13,Put Condiment Container
7823,7864,Pour,16,eating_utensil,3,13,Put Condiment Container
7823,7864,Pour,16,eating_utensil,3,13,Put Condiment Container
8006,8043,,20,cabinet,6,13,Put Condiment Container
8006,8043,,20,cabinet,6,13,Put Condiment Container
8006,8043,,20,cabinet,6,13,Put Condiment Container
8059,8085,,30,eating_utensil,3,18,Put Bowl
8059,8085,,30,eating_utensil,3,18,Put Bowl
8059,8085,,30,eating_utensil,3,18,Put Bowl
8076,8178,,81,trash,15,45,Take Pot
8076,8178,,81,trash,15,45,Take Pot
8076,8178,,81,trash,15,45,Take Pot
8167,8209,,22,cabinet,6,18,Put Bowl
8167,8209,,22,cabinet,6,18,Put Bowl
8167,8209,,22,cabinet,6,18,Put Bowl
8223,8355,Inspect/Read,1,recipe,1,1,Inspect/Read Recipe
8223,8355,Inspect/Read,1,recipe,1,1,Inspect/Read Recipe
8223,8355,Inspect/Read,1,recipe,1,1,Inspect/Read Recipe
8378,8510,Open,2,fridge,2,2,Open Fridge
8378,8510,Open,2,fridge,2,2,Open Fridge
8378,8510,Open,2,fridge,2,2,Open Fridge
8450,8503,,71,cabinet,6,17,Take Bowl
8450,8503,,71,cabinet,6,17,Take Bowl
8450,8503,,71,cabinet,6,17,Take Bowl
8489,8604,,62,eating_utensil,3,8,Take Condiment Container
8489,8604,,62,eating_utensil,3,8,Take Condiment Container
8489,8604,,62,eating_utensil,3,8,Take Condiment Container
8615,8667,,38,fridge,2,27,"Spread Condiment,Bread,Eating Utensil"
8615,8667,,38,fridge,2,27,"Spread Condiment,Bread,Eating Utensil"
8615,8667,,38,fridge,2,27,"Spread Condiment,Bread,Eating Utensil"
8665,8739,,55,eating_utensil,3,11,Close Fridge
8665,8739,,55,eating_utensil,3,11,Close Fridge
8665,8739,,55,eating_utensil,3,11,Close Fridge
8738,8770,,98,cucumber,8,27,"Spread Condiment,Bread,Eating Utensil"
8738,8770,,98,cucumber,8,27,"Spread Condiment,Bread,Eating Utensil"
8738,8770,,98,cucumber,8,27,"Spread Condiment,Bread,Eating Utensil"
8757,8876,Spread,11,cucumber,8,2,Open Fridge
8757,8876,Spread,11,cucumber,8,2,Open Fridge
8757,8876,Spread,11,cucumber,8,2,Open Fridge
8883,8910,,89,cabinet,6,8,Take Condiment Container
8883,8910,,89,cabinet,6,8,Take Condiment Container
8883,8910,,89,cabinet,6,8,Take Condiment Container
8938,9420,Move Around,9,tomato,4,8,Take Condiment Container
8938,9420,Move Around,9,tomato,4,8,Take Condiment Container
8938,9420,Move Around,9,tomato,4,8,Take Condiment Container
9358,9396,,89,cabinet,6,8,Take Condiment Container
9358,9396,,89,cabinet,6,8,Take Condiment Container
9358,9396,,89,cabinet,6,8,Take Condiment Container
9389,9676,Move Around,9,tomato,4,8,Take Condiment Container
9389,9676,Move Around,9,tomato,4,8,Take Condiment Container
9389,9676,Move Around,9,tomato,4,8,Take Condiment Container
9630,10165,Move Around,9,tomato,4,8,Take Condiment Container
9630,10165,Move Around,9,tomato,4,8,Take Condiment Container
9630,10165,Move Around,9,tomato,4,8,Take Condiment Container
10010,10050,Move Around,9,tomato,4,8,Take Condiment Container
10010,10050,Move Around,9,tomato,4,8,Take Condiment Container
10010,10050,Move Around,9,tomato,4,8,Take Condiment Container
10154,10197,Move Around,9,tomato,4,8,Take Condiment Container
10154,10197,Move Around,9,tomato,4,8,Take Condiment Container
10154,10197,Move Around,9,tomato,4,8,Take Condiment Container
10179,10310,Move Around,9,tomato,4,8,Take Condiment Container
10179,10310,Move Around,9,tomato,4,8,Take Condiment Container
10179,10310,Move Around,9,tomato,4,8,Take Condiment Container
10354,10806,Move Around,9,tomato,4,8,Take Condiment Container
10354,10806,Move Around,9,tomato,4,8,Take Condiment Container
