StartFrame,EndFrame,Verb,Verb_class,Noun,Noun_class,ActionLabel,ActionName
1037,1104,Wash,10,condiment_container,7,9,Cut Cucumber
1037,1104,Wash,10,condiment_container,7,9,Cut Cucumber
1037,1104,Wash,10,condiment_container,7,9,Cut Cucumber
1131,1158,,60,eating_utensil,3,37,Close Condiment Container
1131,1158,,60,eating_utensil,3,37,Close Condiment Container
1131,1158,,60,eating_utensil,3,37,Close Condiment Container
1153,1190,,95,fridge,2,37,Close Condiment Container
1153,1190,,95,fridge,2,37,Close Condiment Container
1153,1190,,95,fridge,2,37,Close Condiment Container
1216,1315,,41,oil_container,37,23,Take Paper Towel
1216,1315,,41,oil_container,37,23,Take Paper Towel
1216,1315,,41,oil_container,37,23,Take Paper Towel
1315,1366,,106,cabinet,6,37,Close Condiment Container
1315,1366,,106,cabinet,6,37,Close Condiment Container
1315,1366,,106,cabinet,6,37,Close Condiment Container
1360,1392,,106,cabinet,6,37,Close Condiment Container
1360,1392,,106,cabinet,6,37,Close Condiment Container
1360,1392,,106,cabinet,6,37,Close Condiment Container
1406,1496,Open,2,fridge,2,2,Open Fridge
1406,1496,Open,2,fridge,2,2,Open Fridge
1406,1496,Open,2,fridge,2,2,Open Fridge
1701,1732,,98,cucumber,8,27,"Spread Condiment,Bread,Eating Utensil"
1701,1732,,98,cucumber,8,27,"Spread Condiment,Bread,Eating Utensil"
1701,1732,,98,cucumber,8,27,"Spread Condiment,Bread,Eating Utensil"
1756,1846,Spread,11,cucumber,8,2,Open Fridge
1756,1846,Spread,11,cucumber,8,2,Open Fridge
1756,1846,Spread,11,cucumber,8,2,Open Fridge
1884,1916,Spread,11,cucumber,8,2,Open Fridge
1884,1916,Spread,11,cucumber,8,2,Open Fridge
1884,1916,Spread,11,cucumber,8,2,Open Fridge
1929,1969,Open,2,fridge,2,2,Open Fridge
1929,1969,Open,2,fridge,2,2,Open Fridge
1929,1969,Open,2,fridge,2,2,Open Fridge
2080,2108,Mix,15,fridge,2,12,Cut Carrot
2080,2108,Mix,15,fridge,2,12,Cut Carrot
2080,2108,Mix,15,fridge,2,12,Cut Carrot
2435,2512,Spread,11,cucumber,8,2,Open Fridge
2435,2512,Spread,11,cucumber,8,2,Open Fridge
2435,2512,Spread,11,cucumber,8,2,Open Fridge
2577,2621,,103,eating_utensil,3,48,Take Tomato
2577,2621,,103,eating_utensil,3,48,Take Tomato
2577,2621,,103,eating_utensil,3,48,Take Tomato
2614,2637,,103,eating_utensil,3,48,Take Tomato
2614,2637,,103,eating_utensil,3,48,Take Tomato
2614,2637,,103,eating_utensil,3,48,Take Tomato
2630,2765,,93,cooking_utensil,18,48,Take Tomato
2630,2765,,93,cooking_utensil,18,48,Take Tomato
2630,2765,,93,cooking_utensil,18,48,Take Tomato
2832,2888,,103,eating_utensil,3,48,Take Tomato
2832,2888,,103,eating_utensil,3,48,Take Tomato
2832,2888,,103,eating_utensil,3,48,Take Tomato
2946,3069,,93,cooking_utensil,18,48,Take Tomato
2946,3069,,93,cooking_utensil,18,48,Take Tomato
2946,3069,,93,cooking_utensil,18,48,Take Tomato
3891,5080,Mix,15,mixture,38,3,Take Eating Utensil
3891,5080,Mix,15,mixture,38,3,Take Eating Utensil
3891,5080,Mix,15,mixture,38,3,Take Eating Utensil
3944,3964,Take,3,eating_utensil,3,3,Take Eating Utensil
3944,3964,Take,3,eating_utensil,3,3,Take Eating Utensil
3944,3964,Take,3,eating_utensil,3,3,Take Eating Utensil
3953,3979,Take,3,eating_utensil,3,3,Take Eating Utensil
3953,3979,Take,3,eating_utensil,3,3,Take Eating Utensil
3953,3979,Take,3,eating_utensil,3,3,Take Eating Utensil
5133,5852,,86,trash,15,48,Take Tomato
5133,5852,,86,trash,15,48,Take Tomato
5133,5852,,86,trash,15,48,Take Tomato
5784,5811,Mix,15,mixture,38,3,Take Eating Utensil
5784,5811,Mix,15,mixture,38,3,Take Eating Utensil
5784,5811,Mix,15,mixture,38,3,Take Eating Utensil
5881,5905,Put,6,cabinet,6,3,Take Eating Utensil
5881,5905,Put,6,cabinet,6,3,Take Eating Utensil
5881,5905,Put,6,cabinet,6,3,Take Eating Utensil
6291,6328,Crack,18,cabinet,6,14,Cut Onion
6291,6328,Crack,18,cabinet,6,14,Cut Onion
6291,6328,Crack,18,cabinet,6,14,Cut Onion
6394,6515,Open,2,fridge,2,2,Open Fridge
6394,6515,Open,2,fridge,2,2,Open Fridge
6394,6515,Open,2,fridge,2,2,Open Fridge
6510,6578,,47,eating_utensil,3,32,Move Around Patty
6510,6578,,47,eating_utensil,3,32,Move Around Patty
6510,6578,,47,eating_utensil,3,32,Move Around Patty
6625,6720,Spread,11,cucumber,8,2,Open Fridge
6625,6720,Spread,11,cucumber,8,2,Open Fridge
6625,6720,Spread,11,cucumber,8,2,Open Fridge
6709,6750,,38,fridge,2,27,"Spread Condiment,Bread,Eating Utensil"
6709,6750,,38,fridge,2,27,"Spread Condiment,Bread,Eating Utensil"
6709,6750,,38,fridge,2,27,"Spread Condiment,Bread,Eating Utensil"
6742,6903,Close,8,eating_utensil,3,7,Open Cabinet
6742,6903,Close,8,eating_utensil,3,7,Open Cabinet
6742,6903,Close,8,eating_utensil,3,7,Open Cabinet
6986,7022,,78,cucumber,8,12,Cut Carrot
6986,7022,,78,cucumber,8,12,Cut Carrot
6986,7022,,78,cucumber,8,12,Cut Carrot
7065,7113,,82,fridge,2,32,Move Around Patty
7065,7113,,82,fridge,2,32,Move Around Patty
7065,7113,,82,fridge,2,32,Move Around Patty
7102,7192,,36,eating_utensil,3,22,Put Cooking Utensil
7102,7192,,36,eating_utensil,3,22,Put Cooking Utensil
7102,7192,,36,eating_utensil,3,22,Put Cooking Utensil
7221,7250,Take,3,eating_utensil,3,3,Take Eating Utensil
7221,7250,Take,3,eating_utensil,3,3,Take Eating Utensil
7221,7250,Take,3,eating_utensil,3,3,Take Eating Utensil
7254,7284,Put,6,cabinet,6,3,Take Eating Utensil
